;Unnamed: 10;descricao;discente;faltas_unidade;id_curso;id_turma;media_final;nota;numero_total_faltas;reposicao;unidade
25;;APROVADO;8f1e25c53680d4d2ecfd4d6be7f4f4f0;0.0;92127264.0;1239874;9.5;10.0;14.0;f;2.0
26;;APROVADO;8f1e25c53680d4d2ecfd4d6be7f4f4f0;0.0;92127264.0;1239874;9.5;8.60000038;14.0;f;3.0
27;;APROVADO;2b366f50d21194c4a826929a4e10ef35;0.0;92127264.0;1239874;9.8;10.0;18.0;f;1.0
28;;APROVADO;2b366f50d21194c4a826929a4e10ef35;0.0;92127264.0;1239874;9.8;9.60000038;18.0;f;2.0
29;;APROVADO;2b366f50d21194c4a826929a4e10ef35;0.0;92127264.0;1239874;9.8;9.89999962;18.0;f;3.0
30;;APROVADO POR NOTA;8336cceaf3e6275f4bd0611280702f1e;0.0;92127264.0;1239536;6.2;8.0;0.0;f;1.0
31;;APROVADO POR NOTA;8336cceaf3e6275f4bd0611280702f1e;0.0;92127264.0;1239536;6.2;3.5;0.0;f;2.0
32;;APROVADO POR NOTA;8336cceaf3e6275f4bd0611280702f1e;0.0;92127264.0;1239536;6.2;7.0;0.0;f;3.0
33;;APROVADO POR NOTA;7b0c9e446d13b6a8b66a1371984b673b;0.0;92127264.0;1239536;5.8;4.0;2.0;f;1.0
34;;APROVADO POR NOTA;7b0c9e446d13b6a8b66a1371984b673b;0.0;92127264.0;1239536;5.8;5.0;2.0;f;2.0
35;;APROVADO POR NOTA;7b0c9e446d13b6a8b66a1371984b673b;0.0;92127264.0;1239536;5.8;8.5;2.0;f;3.0
36;;APROVADO POR NOTA;c9e9fb6d34701e4b7c7ce48b0444c7fe;0.0;92127264.0;1239536;6.0;4.0;6.0;f;1.0
37;;APROVADO POR NOTA;c9e9fb6d34701e4b7c7ce48b0444c7fe;0.0;92127264.0;1239536;6.0;6.5;6.0;f;2.0
38;;APROVADO POR NOTA;c9e9fb6d34701e4b7c7ce48b0444c7fe;0.0;92127264.0;1239536;6.0;7.5;6.0;f;3.0
39;;APROVADO POR NOTA;da437177e090ab90ea33ba772cfbae03;0.0;92127264.0;1239536;6.5;6.0;2.0;f;1.0
40;;APROVADO POR NOTA;da437177e090ab90ea33ba772cfbae03;0.0;92127264.0;1239536;6.5;7.5;2.0;f;2.0
41;;APROVADO POR NOTA;da437177e090ab90ea33ba772cfbae03;0.0;92127264.0;1239536;6.5;6.0;2.0;f;3.0
42;;APROVADO;14542d2e5794c28be6a38a0f921d3229;0.0;92127264.0;1239536;8.7;8.5;2.0;f;1.0
43;;APROVADO;14542d2e5794c28be6a38a0f921d3229;0.0;92127264.0;1239536;8.7;7.5;2.0;f;2.0
44;;APROVADO;14542d2e5794c28be6a38a0f921d3229;0.0;92127264.0;1239536;8.7;10.0;2.0;f;3.0
45;;APROVADO;f3caa95604e0a8a412e8d93a3e498d5f;0.0;92127264.0;1239536;8.5;8.5;0.0;f;1.0
46;;APROVADO;f3caa95604e0a8a412e8d93a3e498d5f;0.0;92127264.0;1239536;8.5;8.5;0.0;f;2.0
47;;APROVADO;f3caa95604e0a8a412e8d93a3e498d5f;0.0;92127264.0;1239536;8.5;8.5;0.0;f;3.0
48;;APROVADO;b4926c2ec06ab72a79d5b0f962165eb2;0.0;92127264.0;1239536;8.0;10.0;2.0;f;1.0
49;;APROVADO;b4926c2ec06ab72a79d5b0f962165eb2;0.0;92127264.0;1239536;8.0;6.5;2.0;f;2.0
50;;APROVADO;b4926c2ec06ab72a79d5b0f962165eb2;0.0;92127264.0;1239536;8.0;7.5;2.0;f;3.0
51;;APROVADO;51a920b9ab104a241c04fe06fcd5351d;0.0;92127264.0;1239536;8.5;7.0;2.0;f;1.0
52;;APROVADO;51a920b9ab104a241c04fe06fcd5351d;0.0;92127264.0;1239536;8.5;9.0;2.0;f;2.0
53;;APROVADO;51a920b9ab104a241c04fe06fcd5351d;0.0;92127264.0;1239536;8.5;9.5;2.0;f;3.0
54;;APROVADO POR NOTA;cde1db6a62885e1f4def0c4d142f92b6;0.0;92127264.0;1239536;6.5;5.5;0.0;f;1.0
55;;APROVADO POR NOTA;cde1db6a62885e1f4def0c4d142f92b6;0.0;92127264.0;1239536;6.5;7.0;0.0;f;2.0
56;;APROVADO POR NOTA;cde1db6a62885e1f4def0c4d142f92b6;0.0;92127264.0;1239536;6.5;7.0;0.0;f;3.0
57;;APROVADO;a70e6e000686d82ad1d1a29ce75fab9f;0.0;92127264.0;1239536;8.2;7.0;0.0;f;1.0
58;;APROVADO;a70e6e000686d82ad1d1a29ce75fab9f;0.0;92127264.0;1239536;8.2;7.5;0.0;f;2.0
59;;APROVADO;a70e6e000686d82ad1d1a29ce75fab9f;0.0;92127264.0;1239536;8.2;10.0;0.0;f;3.0
60;;APROVADO;8704f185e8ae317c72ea205b466f1845;0.0;92127264.0;1239536;8.0;8.0;2.0;f;1.0
61;;APROVADO;8704f185e8ae317c72ea205b466f1845;0.0;92127264.0;1239536;8.0;9.0;2.0;f;2.0
62;;APROVADO;8704f185e8ae317c72ea205b466f1845;0.0;92127264.0;1239536;8.0;7.0;2.0;f;3.0
63;;APROVADO;fd0e048fa965135d37b08eb877ce9a2d;0.0;92127264.0;1239536;7.0;5.5;4.0;f;1.0
64;;APROVADO;fd0e048fa965135d37b08eb877ce9a2d;0.0;92127264.0;1239536;7.0;6.0;4.0;f;2.0
65;;APROVADO;fd0e048fa965135d37b08eb877ce9a2d;0.0;92127264.0;1239536;7.0;9.5;4.0;f;3.0
66;;REPROVADO;876c9810d6f4b25797d73c942f55764e;0.0;92127264.0;1239536;4.2;5.0;0.0;f;1.0
67;;REPROVADO;876c9810d6f4b25797d73c942f55764e;0.0;92127264.0;1239536;4.2;4.5;0.0;f;2.0
68;;REPROVADO;876c9810d6f4b25797d73c942f55764e;0.0;92127264.0;1239536;4.2;0.0;0.0;t;3.0
69;;INDEFERIDO;2f12475d6516e7c61a27954a922b1c99;;92127264.0;1239536;;;;;
70;;APROVADO;2a972fdb2041099e5328733757678e82;0.0;92127264.0;1239536;9.3;8.0;2.0;f;1.0
71;;APROVADO;2a972fdb2041099e5328733757678e82;0.0;92127264.0;1239536;9.3;10.0;2.0;f;2.0
72;;APROVADO;2a972fdb2041099e5328733757678e82;0.0;92127264.0;1239536;9.3;10.0;2.0;f;3.0
73;;INDEFERIDO;42390057dc2777e717cc415730ce6de8;;92127264.0;1239536;;;;;
74;;INDEFERIDO;c0e9e25e9c66b9a359d6bd6b533a20f9;;92127264.0;1239536;;;;;
75;;APROVADO;9b475dd42613a111c6608052bf3ed567;0.0;92127264.0;1239536;7.5;6.0;4.0;f;1.0
76;;APROVADO;9b475dd42613a111c6608052bf3ed567;0.0;92127264.0;1239536;7.5;7.0;4.0;f;2.0
77;;APROVADO;9b475dd42613a111c6608052bf3ed567;0.0;92127264.0;1239536;7.5;9.5;4.0;f;3.0
78;;REPROVADO POR MÉDIA E POR FALTAS;d01ee6d4e4283d76b5891bbfd5a3dfee;0.0;92127264.0;1239536;3.3;2.5;64.0;f;2.0
79;;REPROVADO POR MÉDIA E POR FALTAS;d01ee6d4e4283d76b5891bbfd5a3dfee;0.0;92127264.0;1239536;3.3;0.0;64.0;t;1.0
80;;REPROVADO POR MÉDIA E POR FALTAS;d01ee6d4e4283d76b5891bbfd5a3dfee;0.0;92127264.0;1239536;3.3;7.5;64.0;f;3.0
81;;APROVADO;3ec676325346e82c629a33ea6e055a63;0.0;92127264.0;1239536;9.2;7.5;0.0;f;1.0
82;;APROVADO;3ec676325346e82c629a33ea6e055a63;0.0;92127264.0;1239536;9.2;10.0;0.0;f;2.0
83;;APROVADO;3ec676325346e82c629a33ea6e055a63;0.0;92127264.0;1239536;9.2;10.0;0.0;f;3.0
84;;REPROVADO;b2e876f9be27dc63da7ac1323d694d31;0.0;92127264.0;1239536;3.8;4.0;4.0;f;1.0
85;;REPROVADO;b2e876f9be27dc63da7ac1323d694d31;0.0;92127264.0;1239536;3.8;7.5;4.0;f;2.0
86;;REPROVADO;b2e876f9be27dc63da7ac1323d694d31;0.0;92127264.0;1239536;3.8;0.0;4.0;f;3.0
87;;APROVADO;56045f32bca98dc55ed43c9f24a1dbae;0.0;92127264.0;1239536;7.2;8.0;0.0;f;3.0
88;;APROVADO;56045f32bca98dc55ed43c9f24a1dbae;0.0;92127264.0;1239536;7.2;6.0;0.0;f;1.0
89;;APROVADO;56045f32bca98dc55ed43c9f24a1dbae;0.0;92127264.0;1239536;7.2;7.5;0.0;f;2.0
90;;APROVADO POR NOTA;41a0fc5b21f574bff1124ce4193798dd;0.0;92127264.0;1239521;6.7;6.5;0.0;f;1.0
91;;APROVADO POR NOTA;41a0fc5b21f574bff1124ce4193798dd;0.0;92127264.0;1239521;6.7;4.5;0.0;f;2.0
92;;APROVADO POR NOTA;41a0fc5b21f574bff1124ce4193798dd;0.0;92127264.0;1239521;6.7;9.0;0.0;f;3.0
93;;APROVADO;e023a67a7bf65d86e71bb690e4cb2ba1;0.0;92127264.0;1239521;8.7;8.0;0.0;f;1.0
94;;APROVADO;e023a67a7bf65d86e71bb690e4cb2ba1;0.0;92127264.0;1239521;8.7;9.0;0.0;f;2.0
95;;APROVADO;e023a67a7bf65d86e71bb690e4cb2ba1;0.0;92127264.0;1239521;8.7;9.0;0.0;f;3.0
96;;APROVADO;2b19bf05f8ce4bc5814bd05d1b4cab36;0.0;92127264.0;1239521;9.0;10.0;2.0;f;1.0
97;;APROVADO;2b19bf05f8ce4bc5814bd05d1b4cab36;0.0;92127264.0;1239521;9.0;10.0;2.0;f;2.0
98;;APROVADO;2b19bf05f8ce4bc5814bd05d1b4cab36;0.0;92127264.0;1239521;9.0;7.0;2.0;f;3.0
99;;APROVADO;052d9755774bb95620a997806bc855cb;0.0;92127264.0;1239521;9.7;10.0;0.0;f;1.0
100;;APROVADO;052d9755774bb95620a997806bc855cb;0.0;92127264.0;1239521;9.7;9.0;0.0;f;2.0
101;;APROVADO;052d9755774bb95620a997806bc855cb;0.0;92127264.0;1239521;9.7;10.0;0.0;f;3.0
102;;APROVADO;8df9f97cf93ecde3864b9faab51527f2;0.0;92127264.0;1239521;9.2;9.0;0.0;f;3.0
103;;APROVADO;8df9f97cf93ecde3864b9faab51527f2;0.0;92127264.0;1239521;9.2;9.5;0.0;f;1.0
104;;APROVADO;8df9f97cf93ecde3864b9faab51527f2;0.0;92127264.0;1239521;9.2;9.0;0.0;f;2.0
105;;APROVADO;8ac0038ac22bc02fbbd50f5716e63380;0.0;92127264.0;1239521;8.0;10.0;4.0;f;3.0
106;;APROVADO;8ac0038ac22bc02fbbd50f5716e63380;0.0;92127264.0;1239521;8.0;7.0;4.0;f;1.0
107;;APROVADO;8ac0038ac22bc02fbbd50f5716e63380;0.0;92127264.0;1239521;8.0;7.0;4.0;f;2.0
108;;DESISTENCIA;dcb8f294bee8769bdfec88486911362f;;92127264.0;1239521;;;;;
109;;APROVADO;48bda966ddad288bba1f680237cdef70;0.0;92127264.0;1239521;9.5;10.0;0.0;f;1.0
110;;APROVADO;48bda966ddad288bba1f680237cdef70;0.0;92127264.0;1239521;9.5;9.0;0.0;f;2.0
111;;APROVADO;48bda966ddad288bba1f680237cdef70;0.0;92127264.0;1239521;9.5;9.5;0.0;f;3.0
112;;REPROVADO;3bb00a5655ef8884b4af55d4a2a65af6;0.0;92127264.0;1239521;0.0;0.0;2.0;f;1.0
113;;REPROVADO;3bb00a5655ef8884b4af55d4a2a65af6;0.0;92127264.0;1239521;0.0;0.0;2.0;f;2.0
114;;REPROVADO;3bb00a5655ef8884b4af55d4a2a65af6;0.0;92127264.0;1239521;0.0;0.0;2.0;f;3.0
115;;APROVADO;31e1be3720544f57f5061f094d215cee;0.0;92127264.0;1239521;7.0;10.0;0.0;f;1.0
116;;APROVADO;31e1be3720544f57f5061f094d215cee;0.0;92127264.0;1239521;7.0;2.0;0.0;f;2.0
117;;APROVADO;31e1be3720544f57f5061f094d215cee;0.0;92127264.0;1239521;7.0;9.0;0.0;f;3.0
118;;REPROVADO;60609db24f3edaed3cdfe82fdb7fc4d2;0.0;92127264.0;1239521;0.0;0.0;4.0;f;1.0
119;;REPROVADO;60609db24f3edaed3cdfe82fdb7fc4d2;0.0;92127264.0;1239521;0.0;0.0;4.0;f;2.0
120;;REPROVADO;60609db24f3edaed3cdfe82fdb7fc4d2;0.0;92127264.0;1239521;0.0;0.0;4.0;f;3.0
121;;REPROVADO;38d08da2154ffa249889118d73ffdad3;0.0;92127264.0;1239521;0.0;0.0;2.0;f;1.0
122;;REPROVADO;38d08da2154ffa249889118d73ffdad3;0.0;92127264.0;1239521;0.0;0.0;2.0;f;2.0
123;;REPROVADO;38d08da2154ffa249889118d73ffdad3;0.0;92127264.0;1239521;0.0;0.0;2.0;f;3.0
124;;APROVADO POR NOTA;69ad026fcf027c449e2f6b8f57865316;0.0;92127264.0;1239521;6.8;7.0;0.0;f;1.0
125;;APROVADO POR NOTA;69ad026fcf027c449e2f6b8f57865316;0.0;92127264.0;1239521;6.8;4.5;0.0;f;2.0
126;;APROVADO POR NOTA;69ad026fcf027c449e2f6b8f57865316;0.0;92127264.0;1239521;6.8;9.0;0.0;f;3.0
127;;APROVADO;7654b9422f2d9d22dd627991a237eb39;0.0;92127264.0;1239521;7.0;7.5;0.0;f;1.0
128;;APROVADO;7654b9422f2d9d22dd627991a237eb39;0.0;92127264.0;1239521;7.0;4.5;0.0;f;2.0
129;;APROVADO;7654b9422f2d9d22dd627991a237eb39;0.0;92127264.0;1239521;7.0;9.0;0.0;f;3.0
130;;APROVADO;0a91c1554df0d6c53c90f9199492a38f;0.0;92127264.0;1239521;9.2;8.5;2.0;f;1.0
131;;APROVADO;0a91c1554df0d6c53c90f9199492a38f;0.0;92127264.0;1239521;9.2;9.0;2.0;f;2.0
132;;APROVADO;0a91c1554df0d6c53c90f9199492a38f;0.0;92127264.0;1239521;9.2;10.0;2.0;f;3.0
133;;APROVADO;2849447e693afb0816767beb8dc0a942;0.0;92127264.0;1242095;7.9;10.0;0.0;f;1.0
134;;APROVADO;2849447e693afb0816767beb8dc0a942;0.0;92127264.0;1242095;7.9;8.60000038;0.0;f;2.0
135;;APROVADO;2849447e693afb0816767beb8dc0a942;0.0;92127264.0;1242095;7.9;5.0;0.0;f;3.0
136;;APROVADO;83729736aa539851727de8ecb2c3529a;0.0;92127264.0;1239557;7.7;7.0;12.0;f;1.0
137;;APROVADO;83729736aa539851727de8ecb2c3529a;0.0;92127264.0;1239557;7.7;8.0;12.0;f;2.0
138;;APROVADO;83729736aa539851727de8ecb2c3529a;0.0;92127264.0;1239557;7.7;8.0;12.0;f;3.0
139;;APROVADO;29842efca9aab36a080af357242530e1;0.0;92127264.0;1239557;8.0;9.0;8.0;f;3.0
140;;APROVADO;29842efca9aab36a080af357242530e1;0.0;92127264.0;1239557;8.0;7.0;8.0;f;1.0
141;;APROVADO;29842efca9aab36a080af357242530e1;0.0;92127264.0;1239557;8.0;8.0;8.0;f;2.0
142;;INDEFERIDO;3d6c972cf9452dd441b883acb3d086e7;;92127264.0;1241375;;;;;
143;;INDEFERIDO;ea6572e10daf2fe1cf1efaad02d38fe0;;92127264.0;1241403;;;;;
144;;INDEFERIDO;ea6572e10daf2fe1cf1efaad02d38fe0;;92127264.0;1241403;;;;;
145;;APROVADO;63e97bc77196994b439cb853cea9d42d;0.0;92127264.0;1244257;9.2;8.19999981;13.0;f;1.0
146;;APROVADO;63e97bc77196994b439cb853cea9d42d;0.0;92127264.0;1244257;9.2;9.5;13.0;f;2.0
147;;APROVADO;63e97bc77196994b439cb853cea9d42d;0.0;92127264.0;1244257;9.2;10.0;13.0;f;3.0
148;;APROVADO;334129f757f0dc0039f8b8ed9a818050;0.0;92127264.0;1244257;8.6;8.89999962;18.0;f;1.0
149;;APROVADO;334129f757f0dc0039f8b8ed9a818050;0.0;92127264.0;1244257;8.6;7.5;18.0;f;2.0
150;;APROVADO;334129f757f0dc0039f8b8ed9a818050;0.0;92127264.0;1244257;8.6;9.5;18.0;f;3.0
151;;TRANCADO;9d8dcee687180154493648b599a313c3;;92127264.0;1241759;;;;;
152;;REPROVADO;b9c4d0adc55c78cfa8218eff023f3c47;0.0;92127264.0;1239415;0.5;1.0;0.0;f;1.0
153;;REPROVADO;b9c4d0adc55c78cfa8218eff023f3c47;0.0;92127264.0;1239415;0.5;0.5;0.0;f;2.0
154;;REPROVADO;b9c4d0adc55c78cfa8218eff023f3c47;0.0;92127264.0;1239415;0.5;0.0;0.0;f;3.0
155;;REPROVADO;b2e876f9be27dc63da7ac1323d694d31;0.0;92127264.0;1239415;1.7;5.19999981;0.0;f;2.0
156;;REPROVADO;b2e876f9be27dc63da7ac1323d694d31;0.0;92127264.0;1239415;1.7;0.0;0.0;f;3.0
157;;REPROVADO;b2e876f9be27dc63da7ac1323d694d31;0.0;92127264.0;1239415;1.7;0.0;0.0;f;1.0
158;;APROVADO POR NOTA;303cb1c7a7daef7e51ccd66f6c4ac6b2;0.0;92127264.0;1239415;5.8;3.5;0.0;f;1.0
159;;APROVADO POR NOTA;303cb1c7a7daef7e51ccd66f6c4ac6b2;0.0;92127264.0;1239415;5.8;2.79999995;0.0;t;2.0
160;;APROVADO POR NOTA;303cb1c7a7daef7e51ccd66f6c4ac6b2;0.0;92127264.0;1239415;5.8;6.80000019;0.0;f;3.0
161;;APROVADO;9b475dd42613a111c6608052bf3ed567;0.0;92127264.0;1239415;7.1;7.599999900000001;0.0;f;3.0
162;;APROVADO;9b475dd42613a111c6608052bf3ed567;0.0;92127264.0;1239415;7.1;6.69999981;0.0;f;1.0
163;;APROVADO;9b475dd42613a111c6608052bf3ed567;0.0;92127264.0;1239415;7.1;7.099999900000001;0.0;f;2.0
164;;REPROVADO;cde1db6a62885e1f4def0c4d142f92b6;0.0;92127264.0;1239415;1.9;4.30000019;0.0;f;1.0
165;;REPROVADO;cde1db6a62885e1f4def0c4d142f92b6;0.0;92127264.0;1239415;1.9;1.5;0.0;f;2.0
166;;REPROVADO;cde1db6a62885e1f4def0c4d142f92b6;0.0;92127264.0;1239415;1.9;0.0;0.0;f;3.0
167;;REPROVADO;8704f185e8ae317c72ea205b466f1845;0.0;92127264.0;1239415;3.3;6.69999981;0.0;f;1.0
168;;REPROVADO;8704f185e8ae317c72ea205b466f1845;0.0;92127264.0;1239415;3.3;1.0;0.0;f;2.0
169;;REPROVADO;8704f185e8ae317c72ea205b466f1845;0.0;92127264.0;1239415;3.3;2.29999995;0.0;f;3.0
170;;APROVADO;a70e6e000686d82ad1d1a29ce75fab9f;0.0;92127264.0;1239415;7.2;6.30000019;0.0;f;1.0
171;;APROVADO;a70e6e000686d82ad1d1a29ce75fab9f;0.0;92127264.0;1239415;7.2;7.400000099999999;0.0;f;2.0
172;;APROVADO;a70e6e000686d82ad1d1a29ce75fab9f;0.0;92127264.0;1239415;7.2;2.5;0.0;t;3.0
173;;TRANCADO;32daafffbc274ee74e2c8ea9f9b792a6;;92127264.0;1239415;;;;;
174;;REPROVADO;29842efca9aab36a080af357242530e1;0.0;92127264.0;1239415;0.0;0.0;0.0;f;3.0
175;;REPROVADO;29842efca9aab36a080af357242530e1;0.0;92127264.0;1239415;0.0;0.0;0.0;f;1.0
176;;REPROVADO;29842efca9aab36a080af357242530e1;0.0;92127264.0;1239415;0.0;0.0;0.0;f;2.0
177;;REPROVADO;876c9810d6f4b25797d73c942f55764e;0.0;92127264.0;1239415;1.6;4.80000019;0.0;f;1.0
178;;REPROVADO;876c9810d6f4b25797d73c942f55764e;0.0;92127264.0;1239415;1.6;0.0;0.0;f;2.0
179;;REPROVADO;876c9810d6f4b25797d73c942f55764e;0.0;92127264.0;1239415;1.6;0.0;0.0;f;3.0
180;;APROVADO POR NOTA;6b670cfa95d95f992859f4d4baafd986;0.0;92127264.0;1239415;5.2;5.19999981;0.0;f;1.0
181;;APROVADO POR NOTA;6b670cfa95d95f992859f4d4baafd986;0.0;92127264.0;1239415;5.2;4.0;0.0;f;2.0
182;;APROVADO POR NOTA;6b670cfa95d95f992859f4d4baafd986;0.0;92127264.0;1239415;5.2;6.30000019;0.0;f;3.0
183;;APROVADO;098328a35e4c60b120e4bb6b94c8a0f6;0.0;92127264.0;1241763;8.5;7.0;12.0;f;3.0
184;;APROVADO;098328a35e4c60b120e4bb6b94c8a0f6;0.0;92127264.0;1241763;8.5;8.39999962;12.0;f;1.0
185;;APROVADO;098328a35e4c60b120e4bb6b94c8a0f6;0.0;92127264.0;1241763;8.5;10.0;12.0;f;2.0
186;;APROVADO;5a5d94d46b85d1bec85b6a0b0a0b826b;0.0;92127264.0;1241763;8.1;6.30000019;12.0;f;1.0
187;;APROVADO;5a5d94d46b85d1bec85b6a0b0a0b826b;0.0;92127264.0;1241763;8.1;10.0;12.0;f;2.0
188;;APROVADO;5a5d94d46b85d1bec85b6a0b0a0b826b;0.0;92127264.0;1241763;8.1;8.0;12.0;f;3.0
189;;APROVADO;8336cceaf3e6275f4bd0611280702f1e;0.0;92127264.0;1239558;7.2;9.5;4.0;f;1.0
190;;APROVADO;8336cceaf3e6275f4bd0611280702f1e;0.0;92127264.0;1239558;7.2;9.0;4.0;f;2.0
191;;APROVADO;8336cceaf3e6275f4bd0611280702f1e;0.0;92127264.0;1239558;7.2;3.0;4.0;f;3.0
192;;APROVADO;f5d92d4830c68497a8fb9d3c45b5021d;0.0;92127264.0;1239558;9.5;9.5;4.0;f;1.0
193;;APROVADO;f5d92d4830c68497a8fb9d3c45b5021d;0.0;92127264.0;1239558;9.5;9.0;4.0;f;2.0
194;;APROVADO;f5d92d4830c68497a8fb9d3c45b5021d;0.0;92127264.0;1239558;9.5;10.0;4.0;f;3.0
195;;APROVADO;92ace2b2da66ffdb12f6b288306325fd;0.0;92127264.0;1239558;9.3;8.0;12.0;f;1.0
196;;APROVADO;92ace2b2da66ffdb12f6b288306325fd;0.0;92127264.0;1239558;9.3;10.0;12.0;f;2.0
197;;APROVADO;92ace2b2da66ffdb12f6b288306325fd;0.0;92127264.0;1239558;9.3;10.0;12.0;f;3.0
198;;APROVADO;b48992acc8eac3465362de43c402f802;0.0;92127264.0;1239558;8.5;9.5;4.0;f;1.0
199;;APROVADO;b48992acc8eac3465362de43c402f802;0.0;92127264.0;1239558;8.5;7.0;4.0;f;2.0
200;;APROVADO;b48992acc8eac3465362de43c402f802;0.0;92127264.0;1239558;8.5;9.0;4.0;f;3.0
201;;APROVADO;29842efca9aab36a080af357242530e1;0.0;92127264.0;1239558;8.8;9.5;4.0;f;1.0
202;;APROVADO;29842efca9aab36a080af357242530e1;0.0;92127264.0;1239558;8.8;10.0;4.0;f;2.0
203;;APROVADO;29842efca9aab36a080af357242530e1;0.0;92127264.0;1239558;8.8;7.0;4.0;f;3.0
204;;TRANCADO;af411d3564d0980b1ceb2c8b60e808a2;;92127264.0;1239558;;;;;
205;;APROVADO;bc2bc7b8d6d7550aeaf952fd146e716e;0.0;92127264.0;1241475;8.5;10.0;0.0;f;1.0
206;;APROVADO;bc2bc7b8d6d7550aeaf952fd146e716e;0.0;92127264.0;1241475;8.5;9.5;0.0;f;2.0
207;;APROVADO;bc2bc7b8d6d7550aeaf952fd146e716e;0.0;92127264.0;1241475;8.5;6.0;0.0;f;3.0
208;;APROVADO;768519e21c9db3641c7c0d26e55d5574;0.0;92127264.0;1244256;9.8;9.5;6.0;f;1.0
209;;APROVADO;768519e21c9db3641c7c0d26e55d5574;0.0;92127264.0;1244256;9.8;10.0;6.0;f;2.0
210;;APROVADO;768519e21c9db3641c7c0d26e55d5574;0.0;92127264.0;1244256;9.8;10.0;6.0;f;3.0
211;;APROVADO;4120da6763c98152ecabdc8a07f4903d;0.0;92127264.0;1244256;9.0;8.0;18.0;f;1.0
212;;APROVADO;4120da6763c98152ecabdc8a07f4903d;0.0;92127264.0;1244256;9.0;9.0;18.0;f;2.0
213;;APROVADO;4120da6763c98152ecabdc8a07f4903d;0.0;92127264.0;1244256;9.0;10.0;18.0;f;3.0
214;;APROVADO;9bf92154ba99ff3f6fca90bfa35d0e8d;0.0;92127264.0;1244256;8.7;10.0;12.0;f;1.0
215;;APROVADO;9bf92154ba99ff3f6fca90bfa35d0e8d;0.0;92127264.0;1244256;8.7;8.0;12.0;f;2.0
